"index","Название региона или федерального округа","Население"
"0","Всего по Российской Федерации","146447424"
"1","Центральный федеральный округ","40240256"
"2","Белгородская обл.","1514527"
"3","Брянская обл.","1152505"
"4","Владимирская обл.","1325510"
"5","Воронежская обл.","2285282"
"6","Ивановская обл.","914725"
"7","Калужская обл.","1070853"
"8","Костромская обл.","571900"
"9","Курская обл.","1067034"
"10","Липецкая обл.","1126263"
"11","Московская обл.","8591736"
"12","Орловская обл.","700276"
"13","Рязанская обл.","1088918"
"14","Смоленская обл.","873041"
"15","Тамбовская обл.","966250"
"16","Тверская обл.","1211183"
"17","Тульская обл.","1481471"
"18","Ярославская обл.","1194605"
"19","г.Москва","13104177"
"20","Северо-Западный федеральный округ","13867347"
"21","Респ. Карелия","527880"
"22","Респ. Коми","726434"
"23","Архангельская обл.","1005687"
"24","Вологодская обл.","1128782"
"25","Калининградская обл.","1032343"
"26","Ленинградская обл.","2023767"
"27","Мурманская обл.","658698"
"28","Новгородская обл.","575926"
"29","Псковская обл.","587786"
"30","Ненецкий а.о.","41383"
"31","г.Санкт-Петербург","5600044"
"32","Южный федеральный округ","16642052"
"33","Респ. Адыгея","497985"
"34","Респ. Калмыкия","264483"
"35","Респ. Крым","1916805"
"36","Краснодарский край","5819345"
"37","Астраханская обл.","950557"
"38","Волгоградская обл.","2470057"
"39","Ростовская обл.","4164547"
"40","г.Севастополь","558273"
"41","Северо-Кавказский федеральный округ","10205730"
"42","Респ. Дагестан","3209781"
"43","Респ. Ингушетия","519078"
"44","Кабардино-Балкарская Респ.","903266"
"45","Карачаево-Черкесская Респ.","468444"
"46","Респ. Северная Осетия-Алания","680748"
"47","Чеченская Респ.","1533209"
"48","Ставропольский край","2891204"
"49","Приволжский федеральный округ","28683247"
"50","Респ. Башкортостан","4077600"
"51","Респ. Марий Эл","672321"
"52","Респ. Мордовия","771373"
"53","Респ. Татарстан","4001625"
"54","Удмуртская Респ.","1442251"
"55","Чувашская Респ.","1173177"
"56","Пермский край","2508352"
"57","Кировская обл.","1138112"
"58","Нижегородская обл.","3081817"
"59","Оренбургская обл.","1841377"
"60","Пензенская обл.","1246609"
"61","Самарская обл.","3142683"
"62","Саратовская обл.","2404944"
"63","Ульяновская обл.","1181006"
"64","Уральский федеральный округ","12259126"
"65","Курганская обл.","761586"
"66","Свердловская обл.","4239161"
"67","Тюменская обл.","3851234"
"68","Челябинская обл.","3407145"
"69","Ханты-Мансийский а.о-Югра","1730353"
"70","Ямало-Ненецкий а.о.","512387"
"71","Сибирский федеральный округ","16645802"
"72","Респ. Алтай","210769"
"73","Респ. Тыва","337271"
"74","Респ. Хакасия","530233"
"75","Алтайский край","2130950"
"76","Красноярский край","2845545"
"77","Иркутская обл.","2344360"
"78","Кемеровская обл. - Кузбасс","2568238"
"79","Новосибирская обл.","2794266"
"80","Омская обл.","1832064"
"81","Томская обл.","1052106"
"82","Дальневосточный федеральный округ","7903864"
"83","Респ. Бурятия","974628"
"84","Респ. Саха (Якутия)","997565"
"85","Забайкальский край","992429"
"86","Камчатский край","288730"
"87","Приморский край","1820076"
"88","Хабаровский край","1284090"
"89","Амурская обл.","756198"
"90","Магаданская обл.","134315"
"91","Сахалинская обл.","460535"
"92","Чукотский а.о.","147458"
"93","Еврейская авт.обл.","47840"
